"","date","season","site","site_type","sample_type","group","organisms_L"
"1",2018-01-07,"winter","CUL1","slough","FB250","flies",20
"2",2018-01-07,"winter","CUL1","slough","FB250","boaters",0
"3",2018-01-07,"winter","CUL1","slough","FB250","mites",0
"4",2018-01-07,"winter","CUL1","slough","FB250","crustaceans",0
"5",2018-01-07,"winter","CUL1","slough","FB250","worms",0
"6",2018-01-07,"winter","CUL1","slough","FB250","mollusks",0
"7",2018-01-07,"winter","CUL1","slough","FB250","beetles",0
"8",2018-01-07,"winter","CUL1","slough","FB250","larvae",0
"9",2018-01-07,"winter","CUL1","slough","FB250","ept",0
"10",2018-01-20,"winter","CUL1","slough","FB250","flies",0
"11",2018-01-20,"winter","CUL1","slough","FB250","boaters",0
"12",2018-01-20,"winter","CUL1","slough","FB250","mites",0
"13",2018-01-20,"winter","CUL1","slough","FB250","crustaceans",6
"14",2018-01-20,"winter","CUL1","slough","FB250","worms",0
"15",2018-01-20,"winter","CUL1","slough","FB250","mollusks",0
"16",2018-01-20,"winter","CUL1","slough","FB250","beetles",0
"17",2018-01-20,"winter","CUL1","slough","FB250","larvae",0
"18",2018-01-20,"winter","CUL1","slough","FB250","ept",0
"19",2018-01-27,"winter","CUL1","slough","FB250","flies",0
"20",2018-01-27,"winter","CUL1","slough","FB250","boaters",12
"21",2018-01-27,"winter","CUL1","slough","FB250","mites",0
"22",2018-01-27,"winter","CUL1","slough","FB250","crustaceans",0
"23",2018-01-27,"winter","CUL1","slough","FB250","worms",2
"24",2018-01-27,"winter","CUL1","slough","FB250","mollusks",0
"25",2018-01-27,"winter","CUL1","slough","FB250","beetles",0
"26",2018-01-27,"winter","CUL1","slough","FB250","larvae",0
"27",2018-01-27,"winter","CUL1","slough","FB250","ept",0
"28",2018-02-03,"winter","CUL1","slough","FB250","flies",0
"29",2018-02-03,"winter","CUL1","slough","FB250","boaters",0
"30",2018-02-03,"winter","CUL1","slough","FB250","mites",0
"31",2018-02-03,"winter","CUL1","slough","FB250","crustaceans",43
"32",2018-02-03,"winter","CUL1","slough","FB250","worms",0
"33",2018-02-03,"winter","CUL1","slough","FB250","mollusks",0
"34",2018-02-03,"winter","CUL1","slough","FB250","beetles",0
"35",2018-02-03,"winter","CUL1","slough","FB250","larvae",0
"36",2018-02-03,"winter","CUL1","slough","FB250","ept",0
"37",2018-02-23,"winter","CUL1","slough","FB250","flies",0
"38",2018-02-23,"winter","CUL1","slough","FB250","boaters",0
"39",2018-02-23,"winter","CUL1","slough","FB250","mites",0
"40",2018-02-23,"winter","CUL1","slough","FB250","crustaceans",101
"41",2018-02-23,"winter","CUL1","slough","FB250","worms",0
"42",2018-02-23,"winter","CUL1","slough","FB250","mollusks",0
"43",2018-02-23,"winter","CUL1","slough","FB250","beetles",0
"44",2018-02-23,"winter","CUL1","slough","FB250","larvae",0
"45",2018-02-23,"winter","CUL1","slough","FB250","ept",0
"46",2018-04-04,"spring","CUL1","slough","FB250","flies",0
"47",2018-04-04,"spring","CUL1","slough","FB250","boaters",2
"48",2018-04-04,"spring","CUL1","slough","FB250","mites",0
"49",2018-04-04,"spring","CUL1","slough","FB250","crustaceans",197
"50",2018-04-04,"spring","CUL1","slough","FB250","worms",0
"51",2018-04-04,"spring","CUL1","slough","FB250","mollusks",0
"52",2018-04-04,"spring","CUL1","slough","FB250","beetles",0
"53",2018-04-04,"spring","CUL1","slough","FB250","larvae",0
"54",2018-04-04,"spring","CUL1","slough","FB250","ept",0
"55",2018-04-28,"spring","CUL1","slough","FB250","flies",0
"56",2018-04-28,"spring","CUL1","slough","FB250","boaters",3
"57",2018-04-28,"spring","CUL1","slough","FB250","mites",0
"58",2018-04-28,"spring","CUL1","slough","FB250","crustaceans",63
"59",2018-04-28,"spring","CUL1","slough","FB250","worms",0
"60",2018-04-28,"spring","CUL1","slough","FB250","mollusks",0
"61",2018-04-28,"spring","CUL1","slough","FB250","beetles",0
"62",2018-04-28,"spring","CUL1","slough","FB250","larvae",0
"63",2018-04-28,"spring","CUL1","slough","FB250","ept",0
"64",2018-08-24,"summer","CUL1","slough","FB250","flies",0
"65",2018-08-24,"summer","CUL1","slough","FB250","boaters",0
"66",2018-08-24,"summer","CUL1","slough","FB250","mites",0
"67",2018-08-24,"summer","CUL1","slough","FB250","crustaceans",0
"68",2018-08-24,"summer","CUL1","slough","FB250","worms",0
"69",2018-08-24,"summer","CUL1","slough","FB250","mollusks",0
"70",2018-08-24,"summer","CUL1","slough","FB250","beetles",0
"71",2018-08-24,"summer","CUL1","slough","FB250","larvae",0
"72",2018-08-24,"summer","CUL1","slough","FB250","ept",0
"73",2018-03-03,"spring","DSP","pool","FB250","flies",1
"74",2018-03-03,"spring","DSP","pool","FB250","boaters",8
"75",2018-03-03,"spring","DSP","pool","FB250","mites",0
"76",2018-03-03,"spring","DSP","pool","FB250","crustaceans",23
"77",2018-03-03,"spring","DSP","pool","FB250","worms",0
"78",2018-03-03,"spring","DSP","pool","FB250","mollusks",0
"79",2018-03-03,"spring","DSP","pool","FB250","beetles",0
"80",2018-03-03,"spring","DSP","pool","FB250","larvae",0
"81",2018-03-03,"spring","DSP","pool","FB250","ept",0
"82",2018-04-06,"spring","DSP","pool","FB250","flies",0
"83",2018-04-06,"spring","DSP","pool","FB250","boaters",0
"84",2018-04-06,"spring","DSP","pool","FB250","mites",0
"85",2018-04-06,"spring","DSP","pool","FB250","crustaceans",9
"86",2018-04-06,"spring","DSP","pool","FB250","worms",0
"87",2018-04-06,"spring","DSP","pool","FB250","mollusks",0
"88",2018-04-06,"spring","DSP","pool","FB250","beetles",0
"89",2018-04-06,"spring","DSP","pool","FB250","larvae",0
"90",2018-04-06,"spring","DSP","pool","FB250","ept",0
"91",2018-05-08,"spring","DSP","pool","FB250","flies",0
"92",2018-05-08,"spring","DSP","pool","FB250","boaters",7
"93",2018-05-08,"spring","DSP","pool","FB250","mites",0
"94",2018-05-08,"spring","DSP","pool","FB250","crustaceans",59
"95",2018-05-08,"spring","DSP","pool","FB250","worms",0
"96",2018-05-08,"spring","DSP","pool","FB250","mollusks",0
"97",2018-05-08,"spring","DSP","pool","FB250","beetles",0
"98",2018-05-08,"spring","DSP","pool","FB250","larvae",0
"99",2018-05-08,"spring","DSP","pool","FB250","ept",0
"100",2018-05-09,"spring","DSP","pool","FB250","flies",2
"101",2018-05-09,"spring","DSP","pool","FB250","boaters",32
"102",2018-05-09,"spring","DSP","pool","FB250","mites",0
"103",2018-05-09,"spring","DSP","pool","FB250","crustaceans",52
"104",2018-05-09,"spring","DSP","pool","FB250","worms",0
"105",2018-05-09,"spring","DSP","pool","FB250","mollusks",0
"106",2018-05-09,"spring","DSP","pool","FB250","beetles",0
"107",2018-05-09,"spring","DSP","pool","FB250","larvae",0
"108",2018-05-09,"spring","DSP","pool","FB250","ept",0
"109",2018-01-07,"winter","MO1","slough","FB250","flies",0
"110",2018-01-07,"winter","MO1","slough","FB250","boaters",0
"111",2018-01-07,"winter","MO1","slough","FB250","mites",0
"112",2018-01-07,"winter","MO1","slough","FB250","crustaceans",70
"113",2018-01-07,"winter","MO1","slough","FB250","worms",0
"114",2018-01-07,"winter","MO1","slough","FB250","mollusks",0
"115",2018-01-07,"winter","MO1","slough","FB250","beetles",0
"116",2018-01-07,"winter","MO1","slough","FB250","larvae",0
"117",2018-01-07,"winter","MO1","slough","FB250","ept",0
"118",2018-02-03,"winter","MO1","slough","FB250","flies",0
"119",2018-02-03,"winter","MO1","slough","FB250","boaters",0
"120",2018-02-03,"winter","MO1","slough","FB250","mites",0
"121",2018-02-03,"winter","MO1","slough","FB250","crustaceans",111
"122",2018-02-03,"winter","MO1","slough","FB250","worms",0
"123",2018-02-03,"winter","MO1","slough","FB250","mollusks",0
"124",2018-02-03,"winter","MO1","slough","FB250","beetles",0
"125",2018-02-03,"winter","MO1","slough","FB250","larvae",0
"126",2018-02-03,"winter","MO1","slough","FB250","ept",0
"127",2018-02-16,"winter","MO1","slough","FB250","flies",0
"128",2018-02-16,"winter","MO1","slough","FB250","boaters",1
"129",2018-02-16,"winter","MO1","slough","FB250","mites",0
"130",2018-02-16,"winter","MO1","slough","FB250","crustaceans",579
"131",2018-02-16,"winter","MO1","slough","FB250","worms",0
"132",2018-02-16,"winter","MO1","slough","FB250","mollusks",0
"133",2018-02-16,"winter","MO1","slough","FB250","beetles",0
"134",2018-02-16,"winter","MO1","slough","FB250","larvae",0
"135",2018-02-16,"winter","MO1","slough","FB250","ept",0
"136",2018-04-11,"spring","MO1","slough","FB250","flies",0
"137",2018-04-11,"spring","MO1","slough","FB250","boaters",0
"138",2018-04-11,"spring","MO1","slough","FB250","mites",0
"139",2018-04-11,"spring","MO1","slough","FB250","crustaceans",176
"140",2018-04-11,"spring","MO1","slough","FB250","worms",0
"141",2018-04-11,"spring","MO1","slough","FB250","mollusks",0
"142",2018-04-11,"spring","MO1","slough","FB250","beetles",0
"143",2018-04-11,"spring","MO1","slough","FB250","larvae",0
