site,kpcofgs,samples_sent,matches,percent_match,common_name
CUL1,Eukaryota,4,383,86.5,eucaryotes
CUL1,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",10,1472,84.59,
CUL1,"Eukaryota, Arthropoda, Collembola, Entomobryomorpha, Isotomidae",1,9,89.8,smooth springtails
CUL1,"Eukaryota, Bacillariophyta",1,45,84,diatoms
CUL1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula, Navicula cryptocephala",1,39,92.6,
CUL1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",2,6132,99.7,
CUL1,"Eukaryota, Discosea, unk_class, Longamoebia, Acanthamoebidae, Acanthamoeba",1,67,93.3,
CUL1,"Eukaryota, Mollusca, Bivalvia, Galeommatida, Montacutidae, Kurtiella, Kurtiella bidentata",2,148,83.7,
CUL1,"Eukaryota, Oomycota",1,39,82.8,
CUL1,"Eukaryota, Oomycota, unk_class, Pythiales, Pythiaceae",2,123,83.45,
CUL1,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae",2,236,84.35,
CUL1,"Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, Saprolegnia, Saprolegnia eccentrica",3,84,87.1,
CUL1,"Eukaryota, Rhodophyta, Bangiophyceae, Bangiales, Bangiaceae, Neoporphyra, Neoporphyra haitanensis",2,78,86.5,
CUL1,"Eukaryota, Rhodophyta, Florideophyceae",1,9,81,
CUL1,"Eukaryota, Rotifera, Eurotatoria, Ploima",1,27,82.2,
CUL1,"Eukaryota, Rotifera, Eurotatoria, Ploima, Brachionidae, Brachionus",1,29,99.4,
CUL1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",7,1228,87.01428571428572,
CUL1,"Eukaryota, unk_phylum, Hyphochytriomycetes, unk_order, Hyphochytriaceae, Hyphochytrium, Hyphochytrium catenoides",1,31,80.4,
CUL1,"Eukaryota, unk_phylum, Phaeophyceae, Laminariales",1,19,84,
MO1,Eukaryota,7,569,85.54285714285714,eucaryotes
MO1,"Eukaryota, Annelida, Polychaeta, unk_order, Capitellidae, Capitella, Capitella teleta",16,9846,84.64375,
