site,kpcofgs,samples_sent,matches,percent_match,common_name
CUL1,"Bacteria, Cyanobacteria",1,24,97.9,blue-green algae
CUL1,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia",5,329,87.16,
CUL1,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus",12,920,97.575,
CUL1,"Eukaryota, Bacillariophyta",5,153,93.94,diatoms
CUL1,"Eukaryota, Bacillariophyta, Bacillariophyceae",1,33,93.4,"Raphid, pennate diatoms"
CUL1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",1,9,99.4,
CUL1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",6,235,96.45,
CUL1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",13,2181,96.67692307692307,
CUL1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",1,20,100,
MO1,"Bacteria, Cyanobacteria",2,16,94.75,blue-green algae
MO1,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia",3,147,87.2,
MO1,"Bacteria, Cyanobacteria, unk_class, Oscillatoriales, Microcoleaceae",2,144,94.75,
MO1,"Bacteria, Cyanobacteria, unk_class, Synechococcales",2,83,92.94999999999999,
MO1,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae",2,38,94.9,
MO1,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus",18,1101,98.25,
MO1,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus sp. WH 8101",1,36,100,
MO1,"Eukaryota, Bacillariophyta",1,23,95.8,diatoms
MO1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",4,3541,98.725,
MO1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",5,725,99.46000000000001,
MO1,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",1,14,99.4,
MO1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",11,1560,96.01818181818182,
MO1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis",1,16,100,
NDC,"Bacteria, Cyanobacteria",2,85,88.35,blue-green algae
NDC,"Bacteria, Cyanobacteria, unk_class, Chroococcales, Cyanobacteriaceae, Cyanobacterium, Cyanobacterium aponinum",1,8,86.3,
NDC,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia",1,32,86.8,
NDC,"Bacteria, Cyanobacteria, unk_class, Synechococcales",2,69,92.94999999999999,
NDC,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus",4,195,98.275,
NDC,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus sp. WH 8101",1,70,100,
NDC,Eukaryota,1,10,99.4,eucaryotes
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae",2,85,96.85,"Raphid, pennate diatoms"
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae",3,36,95.7,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Cylindrotheca, Cylindrotheca closterium",1,41,100,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia",1,11,99.1,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Tryblionella, Tryblionella compressa",1,136,100,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",6,330,97.15,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",3,86,96.9,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae",1,444,99.7,
NDC,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora",3,366,98.89999999999999,
NDC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae",7,217,97.55714285714286,centric diatoms
NDC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",4,122,96.85,
NDC,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,282,100,
NDC,"Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales",1,41,98.5,
NDC,"Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, Chlamydomonadaceae, Chloromonas, Chloromonas perforata",1,83,100,
NDC,"Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, Chlorococcaceae, Chlorococcum, Chlorococcum echinozygotum",1,12,99.7,
NDC,"Eukaryota, Chlorophyta, Trebouxiophyceae",1,16,94,
