"","esv_id","kpcofgs","site_name","total_sample_number","total_percent_match","total_number_species"
"1","ESV_000007","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula, ","NPB1",21,100,2
"2","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",837,100,3
"3","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",500,100,3
"4","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",407,100,3
"5","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",1286,100,3
"6","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",1067,100,3
"7","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",370,100,3
"8","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",1099,100,3
"9","ESV_000019","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",191,100,3
"10","ESV_000025","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NPB1",161,99.1,14
"11","ESV_000028","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana","NWP (NCOS West Pond)",810,100,1
"12","ESV_000035","Eukaryota, Streptophyta, Magnoliopsida, Malpighiales, Salicaceae, , ","NPB1",88,100,66
"13","ESV_000045","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVP4",13,99.1,6
"14","ESV_000045","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NWP (NCOS West Pond)",71,99.1,6
"15","ESV_000061","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, ","CUL1",20,100,2
"16","ESV_000061","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, ","MO1",16,100,2
"17","ESV_000061","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, ","NPB",55,100,2
"18","ESV_000066","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",42,98.8,6
"19","ESV_000096","Eukaryota, Bacillariophyta, Bacillariophyceae, , , , ","NWP (NCOS West Pond)",138,100,2
