"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"1","ESV_004361","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia, Nitzschia cf. recta RT-2009","Killdeer fresh dropping","",20,81,1
"2","ESV_004717","Eukaryota, , , , , , ","Killdeer fresh dropping","",11,86.5,4
"3","ESV_010043","Eukaryota, Oomycota, unk_class, Peronosporales, Peronosporaceae, Phytophthora, ","Killdeer fresh dropping","",108,73.6,13
"4","ESV_025160","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, ","Killdeer fresh dropping","",6860,86.5,2
"5","ESV_025161","Eukaryota, , , , , , ","Killdeer fresh dropping","",677,87.1,4
"6","ESV_025162","Eukaryota, Arthropoda, Insecta, Diptera, Culicidae, Culex, Culex tarsalis","Semi palmated plover fresh dropping","",17762,100,1
"7","ESV_025163","Eukaryota, Arthropoda, Insecta, Diptera, Culicidae, Culex, ","Semi palmated plover fresh dropping","",271,99.4,15
"8","ESV_025164","Eukaryota, Oomycota, unk_class, Saprolegniales, Saprolegniaceae, , ","Killdeer fresh dropping","",318,84,9
"9","ESV_025165","Eukaryota, , , , , , ","Killdeer fresh dropping","",187,77.1,3
"10","ESV_025166","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, Nannochloropsis, ","Killdeer fresh dropping","",130,85.9,2
"11","ESV_025167","Eukaryota, , , , , , ","Killdeer fresh dropping","",38,86.5,4
"12","ESV_025168","Eukaryota, , , , , , ","Killdeer fresh dropping","",15,86.5,4
"13","ESV_025169","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Naviculaceae, Navicula, ","Killdeer fresh dropping","",11,85.9,2
"14","ESV_025170","Eukaryota, , , , , , ","Killdeer fresh dropping","",8,73.6,18
"15","ESV_000006","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","Killdeer fresh dropping","",71,100,7
"16","ESV_000006","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","Least Sandpiper fresh dropping","",292,100,7
"17","ESV_000006","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","Semi palmated plover fresh dropping","",108,100,7
"18","ESV_000020","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","Killdeer fresh dropping","",11,100,30
"19","ESV_000020","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","Least Sandpiper fresh dropping","",10,100,30
"20","ESV_000020","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","Semi palmated plover fresh dropping","",13,100,30
