"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"1","ESV_002416","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",464,97.2,4
"2","ESV_002417","Eukaryota, Chordata, Aves, Strigiformes, Strigidae, Athene, ","ground owl pellet","UCSB-IZC00044866",231,88.6,2
"3","ESV_002418","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",214,97.9,6
"4","ESV_002419","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",135,97.4,6
"5","ESV_002420","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",28,97.7,4
"6","ESV_002421","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",24,96.9,6
"7","ESV_002422","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",20,96.9,6
"8","ESV_002423","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",17,96.9,6
"9","ESV_002424","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",15,96.9,6
"10","ESV_002425","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",10,97.2,4
"11","ESV_002426","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",9,97.7,4
"12","ESV_002427","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",9,97.2,4
"13","ESV_002428","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",8,96.9,6
"14","ESV_002429","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","ground owl pellet","UCSB-IZC00044866",8,96.9,6
"15","ESV_002430","Eukaryota, Chordata, Mammalia, Primates, Hominidae, Homo, Homo sapiens","ground owl pellet","UCSB-IZC00045386",47,83.6,1
"16","ESV_002431","Eukaryota, Chordata, Mammalia, Primates, Hominidae, Homo, Homo sapiens","ground owl pellet","UCSB-IZC00045386",46,83.4,1
"17","ESV_000008","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","BCBC-D (30-40)","",27,100,17
"18","ESV_000008","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","BCOO-D (30-40)","",78,100,17
