"","sample_type","esv_id","kpcofgs","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"1","ground owl pellet","ESV_002416","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",464,97.2,4
"2","ground owl pellet","ESV_002417","Eukaryota, Chordata, Aves, Strigiformes, Strigidae, Athene, ","UCSB-IZC00044866",231,88.6,2
"3","ground owl pellet","ESV_002418","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",214,97.9,6
"4","ground owl pellet","ESV_002419","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",135,97.4,6
"5","ground owl pellet","ESV_002420","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",28,97.7,4
"6","ground owl pellet","ESV_002421","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",24,96.9,6
"7","ground owl pellet","ESV_002422","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",20,96.9,6
"8","ground owl pellet","ESV_002423","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",17,96.9,6
"9","ground owl pellet","ESV_002424","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",15,96.9,6
"10","ground owl pellet","ESV_002425","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",10,97.2,4
"11","ground owl pellet","ESV_002426","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",9,97.7,4
"12","ground owl pellet","ESV_002427","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",9,97.2,4
"13","ground owl pellet","ESV_002428","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",8,96.9,6
"14","ground owl pellet","ESV_002429","Eukaryota, Chordata, Mammalia, Rodentia, Cricetidae, , ","UCSB-IZC00044866",8,96.9,6
"15","ground owl pellet","ESV_002430","Eukaryota, Chordata, Mammalia, Primates, Hominidae, Homo, Homo sapiens","UCSB-IZC00045386",47,83.6,1
"16","ground owl pellet","ESV_002431","Eukaryota, Chordata, Mammalia, Primates, Hominidae, Homo, Homo sapiens","UCSB-IZC00045386",46,83.4,1
"17","ground owl pellet","ESV_010145","Eukaryota, Arthropoda, Malacostraca, Isopoda, Armadillidiidae, Armadillidium, ","UCSB-IZC00045386",89,100,3
"18","unground owl pellet","ESV_000006","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","UCSB-IZC00044827",3452,100,7
"19","unground owl pellet","ESV_000013","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",1318,100,11
"20","unground owl pellet","ESV_000020","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","UCSB-IZC00044827",271,100,30
"21","unground owl pellet","ESV_000024","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",213,100,8
"22","unground owl pellet","ESV_000057","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",262,100,19
"23","unground owl pellet","ESV_000471","Eukaryota, , , , , , ","UCSB-IZC00044827",1783,100,69
"24","unground owl pellet","ESV_000620","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",79,99,12
"25","unground owl pellet","ESV_000659","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",21,99,11
"26","unground owl pellet","ESV_000754","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","UCSB-IZC00044827",190,100,2
"27","unground owl pellet","ESV_000838","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","UCSB-IZC00044827",69,100,18
"28","unground owl pellet","ESV_000973","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","UCSB-IZC00044827",64,100,2
"29","unground owl pellet","ESV_001142","Eukaryota, , , , , , ","UCSB-IZC00044827",2138,100,3
"30","unground owl pellet","ESV_001460","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","UCSB-IZC00044827",114,100,21
"31","unground owl pellet","ESV_001462","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","UCSB-IZC00044827",44,100,3
"32","unground owl pellet","ESV_002194","Eukaryota, , , , , , ","UCSB-IZC00044827",98,99.3,100
"33","unground owl pellet","ESV_002267","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",237,100,7
"34","unground owl pellet","ESV_002276","Bacteria, Proteobacteria, , , , , ","UCSB-IZC00044827",272,100,26
"35","unground owl pellet","ESV_002315","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, lwoffii","UCSB-IZC00044827",5661,100,1
"36","unground owl pellet","ESV_002375","Bacteria, Proteobacteria, Alphaproteobacteria, , , , ","UCSB-IZC00044827",8,99,21
"37","unground owl pellet","ESV_002410","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, lwoffii","UCSB-IZC00044827",666,100,1
"38","unground owl pellet","ESV_002411","Bacteria, , , , , , ","UCSB-IZC00044827",24,99,3
"39","unground owl pellet","ESV_002420","Eukaryota, , , , , , ","UCSB-IZC00044827",51,99.3,100
"40","unground owl pellet","ESV_002430","Eukaryota, , , , , , ","UCSB-IZC00044827",16,98.5,100
"41","unground owl pellet","ESV_002762","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",2938,93.8,7
"42","unground owl pellet","ESV_003437","Eukaryota, Ascomycota, Sordariomycetes, , , , ","UCSB-IZC00044827",169,100,7
"43","unground owl pellet","ESV_003803","Eukaryota, , , , , , ","UCSB-IZC00044827",98,99.2,4
"44","unground owl pellet","ESV_003948","Eukaryota, Basidiomycota, Tremellomycetes, Tremellales, Bulleribasidiaceae, Vishniacozyma, carnescens","UCSB-IZC00044827",290,100,1
"45","unground owl pellet","ESV_006251","Eukaryota, Phragmoplastophyta, Embryophyta, Magnoliophyta, Magnoliophyta, Magnoliophyta, ","UCSB-IZC00044827",245,100,47
"46","unground owl pellet","ESV_007627","Eukaryota, , , , , , ","UCSB-IZC00044827",51,99.2,3
"47","unground owl pellet","ESV_008378","Eukaryota, , , , , , ","UCSB-IZC00044827",16,98.4,3
"48","unground owl pellet","ESV_012680","Eukaryota, Ascomycota, Sordariomycetes, , , , ","UCSB-IZC00044827",10,99.2,7
"49","unground owl pellet","ESV_014641","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",121,93.1,9
"50","unground owl pellet","ESV_014645","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",78,93.1,7
"51","unground owl pellet","ESV_014846","Eukaryota, Ascomycota, , , , , ","UCSB-IZC00044827",19,92.3,7
"52","unground owl pellet","ESV_017740","Eukaryota, Ascomycota, Dothideomycetes, Pleosporales, , , ","UCSB-IZC00044827",563,99.2,5
