"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"1","ESV_000008","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","BCBC-D (30-40)","",27,100,17
"2","ESV_000008","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","BCOO-D (30-40)","",78,100,17
"3","ESV_000008","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","OCOO-D (30-40)","",45,100,17
"4","ESV_000037","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, ","OCBC-D (30-40)","",11,100,12
"5","ESV_000051","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","OCBC-D (30-40)","",10,100,4
"6","ESV_000076","Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium, ","BCOC-S (0-10)","",8,100,9
"7","ESV_000258","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, ","BCOC-D (30-40)","",16,100,25
"8","ESV_000258","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, ","BCOC-S (0-10)","",19,100,25
"9","ESV_000258","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium, ","OCOO-D (30-40)","",8,100,25
"10","ESV_000330","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, ","OCOO-S (0-10)","",36,100,1
"11","ESV_000397","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, ","BCBC-D (30-40)","",10,100,5
"12","ESV_000561","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, uncultured, ","BCOO-D (30-40)","",12,100,1
"13","ESV_000629","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","BCOO-D (30-40)","",10,100,2
"14","ESV_000654","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Opitutaceae, Lacunisphaera, ","OCOC-D (30-40)","",9,99.6,4
"15","ESV_000724","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, , ","BCOC-S (0-10)","",17,100,2
"16","ESV_000737","Bacteria, Chloroflexi, KD4-96, , , , ","OCBC-D (30-40)","",10,100,2
"17","ESV_000737","Bacteria, Chloroflexi, KD4-96, , , , ","OCOC-D (30-40)","",8,100,2
"18","ESV_000798","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","BCOC-D (30-40)","",28,100,69
"19","ESV_000798","Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, ","OCBC-D (30-40)","",8,100,69
"20","ESV_000862","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, uncultured, ","OCOC-D (30-40)","",23,99.6,6
"21","ESV_000864","Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, , ","OCOO-S (0-10)","",10,100,3
"22","ESV_000876","Bacteria, Acidobacteriota, Vicinamibacteria, Vicinamibacterales, uncultured, , ","OCOO-D (30-40)","",16,100,1
"23","ESV_001576","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, , ","OCBC-D (30-40)","",24,100,4
"24","ESV_001904","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, , ","OCOO-D (30-40)","",8,100,12
"25","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOC-S (0-10)","",12,100,7
"26","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOO-S (0-10)","",23,100,7
"27","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCBC-S (0-10)","",20,100,7
"28","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOC-S (0-10)","",19,100,7
"29","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOO-D (30-40)","",10,100,7
"30","ESV_002472","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCOO-S (0-10)","",45,100,7
"31","ESV_003752","Bacteria, Actinobacteriota, Actinobacteria, , , , ","BCOC-S (0-10)","",23,100,3
"32","ESV_003752","Bacteria, Actinobacteriota, Actinobacteria, , , , ","OCOO-S (0-10)","",9,100,3
"33","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCBC-S (0-10)","",22,100,21
"34","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOC-S (0-10)","",83,100,21
"35","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","BCOO-S (0-10)","",114,100,21
"36","ESV_004251","Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, , ","OCBC-S (0-10)","",24,100,21
