"","date","year","season","breach_status","site","site_name","site_type","site_reserve","site_desc","sample_type","filter_method","DO_mg_L","DO_pct","cond_spec_mS_cm","sal_ppt","temp_c","baro_mm_Hg","pH","total","taxa","organisms_L","organisms_L_season","organisms_L_year","organisms_L_site","organisms_L_log","organisms_L_season_log","organisms_L_year_log","organisms_L_site_log"
"1",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"ostracod",0.1,0.00181818181818182,0.00151515151515152,0.00416666666666667,0.0953101798043249,0.00181653092639779,0.00151400483121501,0.00415801014866368
"2",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"copepod",0,0,0,0,0,0,0,0
"3",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"amphipod",0,0,0,0,0,0,0,0
"4",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"cladocera",0,0,0,0,0,0,0,0
"5",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"clam_shrimp",0,0,0,0,0,0,0,0
"6",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"annelida_oligochaete",0,0,0,0,0,0,0,0
"7",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"annelida_polychaete",0,0,0,0,0,0,0,0
"8",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"nematode",0,0,0,0,0,0,0,0
"9",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"gastropod_snail",0,0,0,0,0,0,0,0
"10",2018-01-07,2018,"winter","closed","CUL1","Culvert","slough","COPR","Slough in COPR","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,20.1,"coleoptera_sp",0,0,0,0,0,0,0,0
