"","date","year","season","site","breach_status","site_type","sample_type","filter_method","season_samples","year_samples","site_samples","flies","boaters","mites","crustaceans","worms","mollusks","beetles","springtail","dragonfly","larvae","ept","total"
"1",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",55,66,24,20,0,0,0.1,0,0,0,0,0,0,0,20.1
"2",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters",50,66,21,0.3,0.3,0,0.4,0,0,0,0,0,0,0,1
"3",2018-08-24,2018,"summer","CUL1","closed","slough","FB250","7.5 liters",32,66,24,0,0,0,0.1,0,0,0,0.4,0,0,0,0.5
"4",2018-09-28,2018,"fall","NVBR","closed","slough","FB250","7.5 liters",50,66,23,0,11.5,0,44.6,0,0,0,0,0,0,0,56.1
"5",2018-08-24,2018,"summer","VBR1","closed","slough","FB250","7.5 liters",32,66,15,0.8,0.9,0,5.7,0,0,0,0,0,0,0,7.4
"6",2018-09-26,2018,"fall","NEC","closed","slough","FB250","7.5 liters",50,66,24,0.9,1.1,0,5.9,0,0,0.1,0,0,0,0,8
"7",2018-08-24,2018,"summer","NVBR","closed","slough","FB250","7.5 liters",32,66,23,0,0.1,0,16.6,0.1,0,0,0,0,0,0,16.8
"8",2018-12-30,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",55,66,24,1,3.7,0,293.9,0,0,0,0,0,0,0,298.6
"9",2018-08-08,2018,"summer","NEC","closed","slough","FB250","7.5 liters",32,66,24,3.6,10.4,0,69.7,0,0,0,0,0,0,0,83.7
"10",2018-01-07,2018,"winter","MO1","closed","slough","FB250","7.5 liters",55,66,26,0.5,0,0.1,70.3,0,0,0,0,0,0,0,70.9
"11",2018-08-08,2018,"summer","NMC","closed","slough","FB250","7.5 liters",32,66,21,1.7,0.4,0,58.2,0,0,0,0,0,0,0,60.3
"12",2018-11-02,2018,"fall","NPB","closed","slough","FB250","7.5 liters",50,66,23,0.1,8,0,3.8,0,0,0,0,0,0,0,11.9
"13",2018-10-19,2018,"fall","MO1","closed","slough","FB250","7.5 liters",50,66,26,0,408.1,0,4.9,0,0,0,0,0,0,0,413
"14",2018-10-24,2018,"fall","VBR1","closed","slough","FB250","7.5 liters",50,66,15,0.1,8.8,0,1.1,0,0,0,0,0,0,0,10
"15",2018-10-24,2018,"fall","NVBR","closed","slough","FB250","7.5 liters",50,66,23,0.4,1.5,0,1.7,0,0,0,0,0,0,0,3.6
"16",2018-08-06,2018,"summer","MO1","closed","slough","FB250","7.5 liters",32,66,26,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2
"17",2018-05-08,2018,"spring","DSP","post-breach","pool","FB250","7.5 liters",63,66,NA,0,6.8,0,59.5,0,0,0,0,0,0,0,66.3
"18",2018-06-07,2018,"summer","MO1","closed","slough","FB250","7.5 liters",32,66,26,0.1,1.3,0,9,0,0,0,0,0,0,0,10.4
"19",2018-05-09,2018,"spring","DSP","post-breach","pool","FB250","7.5 liters",63,66,NA,1.6,31.7,0,52.8,0,0,0,0,0,0,0,86.1
"20",2018-11-07,2018,"fall","NEC","closed","slough","FB250","7.5 liters",50,66,24,0,18.5,0,2.9,0,0,0,0,0,0,0,21.4
"21",2018-05-08,2018,"spring","MO1","post-breach","slough","FB250","7.5 liters",63,66,26,0,1.2,0,36.5,0,0,0,0,0,0,0,37.7
"22",2018-02-23,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",55,66,24,0.1,0.4,0,101.1,0,0,0,0,0,0,0,101.6
"23",2018-05-21,2018,"spring","VBR1","post-breach","slough","FB250","7.5 liters",63,66,15,0,6.8,0,0.4,0,0,0,0,0,0,0,7.2
"24",2018-05-21,2018,"spring","NVBR","post-breach","slough","FB250","7.5 liters",63,66,23,0.3,5.2,0,9.5,0.1,0,0,0,0,0,0,15.1
"25",2018-02-16,2018,"winter","MO1","closed","slough","FB250","7.5 liters",55,66,26,0.5,0.8,0,578.7,0,0,0,0,0,0,0,580
"26",2018-04-28,2018,"spring","CUL1","post-breach","slough","FB250","7.5 liters",63,66,24,0.1,3.2,0,62.5,0,0,0.1,0,0,0,0,65.9
"27",2018-04-11,2018,"spring","MO1","post-breach","slough","FB250","7.5 liters",63,66,26,0,0,0,176.1,0,0,0,0,0,0,0,176.1
"28",2018-05-14,2018,"spring","NVBR","post-breach","slough","FB250","7.5 liters",63,66,23,0.1,3.1,0,6.6,0,0,0,0,0,0,0,9.8
"29",2018-05-25,2018,"spring","NMC","post-breach","slough","FB250","7.5 liters",63,66,21,0,0.9,0,20,0,0,0,0,0,0,0,20.9
"30",2018-04-27,2018,"spring","NMC","post-breach","slough","FB250","7.5 liters",63,66,21,0,0.8,0,8.3,0,0,0,0,0,0,0,9.1
"31",2018-04-06,2018,"spring","DSP","post-breach","pool","FB250","7.5 liters",63,66,NA,0,0,0,8.9,0,0,0,0,0,0,0,8.9
"32",2018-04-04,2018,"spring","CUL1","post-breach","slough","FB250","7.5 liters",63,66,24,0.1,2.1,0,197.3,0,0,0,0,0,0,0,199.5
"33",2018-05-25,2018,"spring","NEC","post-breach","slough","FB250","7.5 liters",63,66,24,0,4.1,0,16,0,0,0,0,0,0,0,20.1
"34",2018-12-30,2018,"winter","NVBR","closed","slough","FB250","7.5 liters",55,66,23,0,5.3,0,139,0,0,0,0,0,0,0,144.3
"35",2018-12-30,2018,"winter","NMC","closed","slough","FB250","7.5 liters",55,66,21,0,2.7,0,65.5,0,0,0,0,0,0,0,68.2
"36",2018-12-30,2018,"winter","NPB","closed","slough","FB250","7.5 liters",55,66,23,0,1.2,0,345.7,0,0,0,0,0,0,0,346.9
"37",2018-02-03,2018,"winter","MO1","closed","slough","FB250","7.5 liters",55,66,26,0,0,0,111.7,0,0,0,0,0,0,0,111.7
"38",2018-02-03,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",55,66,24,0.1,0.4,0,42.5,0,0,0,0,0,0,0,43
"39",2018-05-18,2018,"spring","NVBR","post-breach","slough","FB250","7.5 liters",63,66,23,0,5.1,0,5.7,0,0,0,0,0,0,0,10.8
"40",2018-06-04,2018,"summer","NDC","closed","slough","FB250","7.5 liters",32,66,12,6,0.7,0,3.3,0,0,0,0,0,0,0,10
"41",2018-01-20,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",55,66,24,0,0,0,5.7,0,0,0,0,0,0,0,5.7
"42",2018-01-27,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",55,66,24,0,12,0,0.1,1.7,0,0,0,0,0,0,13.8
"43",2018-03-03,2018,"spring","DSP","closed","pool","FB250","7.5 liters",63,66,NA,1,8.1,0,23.5,0,0,0,0,0,0,0,32.6
"44",2018-03-09,2018,"spring","NVBR","closed","slough","FB250","7.5 liters",63,66,23,0,4,0,600.8,0,0,0,0,0,0,0,604.8
"45",2018-03-09,2018,"spring","NPB","closed","slough","FB250","7.5 liters",63,66,23,0,0.8,0,30.2,0,0,0,0,0,0,0,31
"46",2018-09-25,2018,"fall","NMC","closed","slough","FB250","7.5 liters",50,66,21,0.3,0.3,0,0.4,0,0,0.1,0,0,0,0,1.1
"47",2018-03-07,2018,"spring","NMC","closed","slough","FB250","7.5 liters",63,66,21,0,0.3,0,105,0,0,0,0,0,0,0,105.3
"48",2018-03-12,2018,"spring","NWP","closed","slough","FB250","7.5 liters",63,66,14,0,0.3,0,112.4,0,0,0,0,0,0,0,112.7
"49",2018-03-07,2018,"spring","NEC","closed","slough","FB250","7.5 liters",63,66,24,0,0,0,75.6,0,0,0,0,0,0,0,75.6
"50",2018-04-11,2018,"spring","NVBR","post-breach","slough","FB250","7.5 liters",63,66,23,0,0.4,0,116.1,0,0,0,0,0,0,0,116.5
"51",2018-01-22,2018,"winter","VBR1","closed","slough","FB250","7.5 liters",55,66,15,0.3,6.4,0,13.5,0,0,0,0,0,0,0,20.2
"52",2018-12-04,2018,"winter","NEC","closed","slough","FB250","7.5 liters",55,66,24,0,0.1,0,28.3,0,0,0,0,0,0,0,28.4
"53",2018-06-04,2018,"summer","NWP","closed","slough","FB250","7.5 liters",32,66,14,0,0.1,0,0.8,0,0,0,0,0,0,0,0.9
"54",2018-03-09,2018,"spring","NWP","closed","slough","FB250","7.5 liters",63,66,14,0,0.3,0,67.9,0,0,0,0,0,0,0,68.2
"55",2018-12-08,2018,"winter","NPB","closed","slough","FB250","7.5 liters",55,66,23,0.1,1.6,0,81.2,0,0,0,0,0,0,0,82.9
"56",2018-12-07,2018,"winter","MO1","closed","slough","FB250","7.5 liters",55,66,26,0.1,24.1,0,1.9,0,0,0,0,0,0,0,26.1
"57",2018-03-03,2018,"spring","VBR1","closed","slough","FB250","7.5 liters",63,66,15,10.8,1.7,0,245.3,0,0,0.1,0,0,0,0,257.9
"58",2018-05-11,2018,"spring","NMC","post-breach","slough","FB250","7.5 liters",63,66,21,0.1,1.6,0,22.5,0,0,0,0,0,0,0,24.2
"59",2018-09-28,2018,"fall","NPB","closed","slough","FB250","7.5 liters",50,66,23,0.5,0.4,0,9,0,0,0,0,0,0,0,9.9
"60",2018-12-08,2018,"winter","NMC","closed","slough","FB250","7.5 liters",55,66,21,0,2.9,0,53.2,0,0,0,0,0,0,0,56.1
"61",2018-12-04,2018,"winter","NVBR","closed","slough","FB250","7.5 liters",55,66,23,0,1.5,0,1.4,0,0,0.1,0,0,0,0,3
"62",2018-05-24,2018,"spring","NVP2","post-breach","pool","FB250","7.5 liters",63,66,NA,1.9,1.2,0,36.3,0,0,0,0,0,0,0,39.4
"63",2018-05-24,2018,"spring","NVP4","post-breach","pool","FB250","7.5 liters",63,66,NA,0.3,2.2,0,4.2,0,0,0,0,0,0,0,6.7
"64",2018-12-30,2018,"winter","NDC","closed","slough","FB250","7.5 liters",55,66,12,0.4,6.7,0,346.4,0,0,0,0,0,0,0,353.5
"65",2018-12-30,2018,"winter","NWP","closed","slough","FB250","7.5 liters",55,66,14,0.8,0.1,0,319.2,0,0,0,0,0,0,0,320.1
"66",2018-05-11,2018,"spring","NPB","post-breach","slough","FB250","7.5 liters",63,66,23,0,2,0,329.9,0,0,0,0,0,0,0,331.9
"67",2018-12-08,2018,"winter","NWP","closed","slough","FB250","7.5 liters",55,66,14,0,0,0,0.6,0,0,0,0,0,0,0,0.6
"68",2018-03-19,2018,"spring","NEC","closed","slough","FB250","7.5 liters",63,66,24,0,0,0,1.1,0,0,0,0,0,0,0,1.1
"69",2018-04-12,2018,"spring","NWP","post-breach","slough","FB250","7.5 liters",63,66,14,0,0.3,0,109.9,0,0,0,0,0,0,0,110.2
"70",2018-03-19,2018,"spring","NDC","closed","slough","FB250","7.5 liters",63,66,12,0,0,0,4.6,0,0,0,0,0,0,0,4.6
"71",2018-04-12,2018,"spring","NDC","post-breach","slough","FB250","7.5 liters",63,66,12,0,0,0,520,0,0,0,0,0,0,0,520
"72",2018-04-20,2018,"spring","NVP2","post-breach","pool","FB250","7.5 liters",63,66,NA,0,0.8,0,151.9,0,0,0,0,0,0,0,152.7
"73",2018-04-20,2018,"spring","NVP4","post-breach","pool","FB250","7.5 liters",63,66,NA,0.3,0,0,130.3,0,0,0,0,0,0,0,130.6
"74",2018-11-02,2018,"fall","NMC","closed","slough","FB250","7.5 liters",50,66,21,0.1,6.3,0,0.9,0,0,0,0,0,0,0,7.3
"75",2018-08-24,2018,"summer","CUL1","closed","slough","CORE",NA,20,22,6,0,0,0,0,0,0,0,0,0,0,0,0
"76",2018-08-24,2018,"summer","VBR1","closed","slough","CORE",NA,20,22,6,31,0,0,214,0,0,0,0,0,0,0,245
"77",2018-08-24,2018,"summer","NVBR","closed","slough","CORE",NA,20,22,6,0,0,0,541,102,0,0,0,0,0,0,643
"78",2018-08-08,2018,"summer","NEC","closed","slough","CORE",NA,20,22,7,10,10,0,10734,0,0,0,0,0,0,0,10754
"79",2018-08-08,2018,"summer","NMC","closed","slough","CORE",NA,20,22,6,31,0,0,3364,0,0,0,0,0,0,0,3395
"80",2018-11-02,2018,"fall","NPB","closed","slough","CORE",NA,13,22,8,122,0,0,1152,0,0,0,0,0,0,0,1274
"81",2018-10-19,2018,"fall","MO1","closed","slough","CORE",NA,13,22,6,30,4179,0,132,0,0,0,0,0,0,0,4341
"82",2018-12-30,2018,"winter","VBR1","closed","slough","CORE",NA,8,22,6,41,0,0,2385,0,0,0,0,0,0,0,2426
"83",2018-02-16,2018,"winter","MO1","closed","slough","CORE",NA,8,22,6,31,31,0,26320,0,0,0,0,0,0,0,26382
"84",2018-04-28,2018,"spring","CUL1","post-breach","slough","CORE",NA,15,22,6,0,0,0,326,0,0,0,0,0,0,0,326
"85",2018-04-06,2018,"spring","DSP","post-breach","pool","CORE",NA,15,22,NA,326,0,0,1081,0,0,0,0,0,0,0,1407
