"","date","year","season","site","site_type","sample_type","year_samples","season_samples","site_samples","group","organisms_L"
"1",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"flies",20
"2",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"boaters",0
"3",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"mites",0
"4",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"crustaceans",0
"5",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"worms",0
"6",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"mollusks",0
"7",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"beetles",0
"8",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"dragonfly",0
"9",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"larvae",0
"10",2018-01-07,2018,"winter","CUL1","slough","FB250",98,99,22,"ept",0
"11",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"flies",0
"12",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"boaters",0
"13",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"mites",0
"14",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"crustaceans",6
"15",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"worms",0
"16",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"mollusks",0
"17",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"beetles",0
"18",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"dragonfly",0
"19",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"larvae",0
"20",2018-01-20,2018,"winter","CUL1","slough","FB250",98,99,22,"ept",0
"21",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"flies",0
"22",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"boaters",12
"23",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"mites",0
"24",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"crustaceans",0
"25",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"worms",2
"26",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"mollusks",0
"27",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"beetles",0
"28",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"dragonfly",0
"29",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"larvae",0
"30",2018-01-27,2018,"winter","CUL1","slough","FB250",98,99,22,"ept",0
"31",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"flies",0
"32",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"boaters",0
"33",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"mites",0
"34",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"crustaceans",43
"35",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"worms",0
"36",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"mollusks",0
"37",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"beetles",0
"38",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"dragonfly",0
"39",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"larvae",0
"40",2018-02-03,2018,"winter","CUL1","slough","FB250",98,99,22,"ept",0
"41",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"flies",0
"42",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"boaters",0
"43",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"mites",0
"44",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"crustaceans",101
"45",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"worms",0
"46",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"mollusks",0
"47",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"beetles",0
"48",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"dragonfly",0
"49",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"larvae",0
"50",2018-02-23,2018,"winter","CUL1","slough","FB250",98,99,22,"ept",0
"51",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"flies",0
"52",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"boaters",2
"53",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"mites",0
"54",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"crustaceans",197
"55",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"worms",0
"56",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"mollusks",0
"57",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"beetles",0
"58",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"dragonfly",0
"59",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"larvae",0
"60",2018-04-04,2018,"spring","CUL1","slough","FB250",98,124,22,"ept",0
"61",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"flies",0
"62",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"boaters",3
"63",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"mites",0
"64",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"crustaceans",63
"65",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"worms",0
"66",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"mollusks",0
"67",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"beetles",0
"68",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"dragonfly",0
"69",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"larvae",0
"70",2018-04-28,2018,"spring","CUL1","slough","FB250",98,124,22,"ept",0
"71",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"flies",0
"72",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"boaters",0
"73",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"mites",0
"74",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"crustaceans",0
"75",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"worms",0
"76",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"mollusks",0
"77",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"beetles",0
"78",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"dragonfly",0
"79",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"larvae",0
"80",2018-08-24,2018,"summer","CUL1","slough","FB250",98,55,22,"ept",0
"81",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"flies",1
"82",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"boaters",8
"83",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"mites",0
"84",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"crustaceans",23
"85",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"worms",0
"86",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"mollusks",0
"87",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"beetles",0
"88",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"dragonfly",0
"89",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"larvae",0
"90",2018-03-03,2018,"spring","DSP","pool","FB250",98,124,11,"ept",0
"91",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"flies",0
"92",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"boaters",0
"93",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"mites",0
"94",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"crustaceans",9
"95",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"worms",0
"96",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"mollusks",0
"97",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"beetles",0
"98",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"dragonfly",0
"99",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"larvae",0
"100",2018-04-06,2018,"spring","DSP","pool","FB250",98,124,11,"ept",0
"101",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"flies",0
"102",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"boaters",7
"103",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"mites",0
"104",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"crustaceans",59
"105",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"worms",0
"106",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"mollusks",0
"107",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"beetles",0
"108",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"dragonfly",0
"109",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"larvae",0
"110",2018-05-08,2018,"spring","DSP","pool","FB250",98,124,11,"ept",0
"111",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"flies",2
"112",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"boaters",32
"113",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"mites",0
"114",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"crustaceans",52
"115",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"worms",0
"116",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"mollusks",0
"117",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"beetles",0
"118",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"dragonfly",0
"119",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"larvae",0
"120",2018-05-09,2018,"spring","DSP","pool","FB250",98,124,11,"ept",0
"121",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"flies",0
"122",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"boaters",0
"123",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"mites",0
"124",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"crustaceans",70
"125",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"worms",0
"126",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"mollusks",0
"127",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"beetles",0
"128",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"dragonfly",0
"129",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"larvae",0
"130",2018-01-07,2018,"winter","MO1","slough","FB250",98,99,25,"ept",0
"131",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"flies",0
"132",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"boaters",0
"133",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"mites",0
"134",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"crustaceans",111
"135",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"worms",0
"136",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"mollusks",0
"137",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"beetles",0
"138",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"dragonfly",0
"139",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"larvae",0
"140",2018-02-03,2018,"winter","MO1","slough","FB250",98,99,25,"ept",0
"141",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"flies",0
"142",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"boaters",1
"143",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"mites",0
"144",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"crustaceans",579
"145",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"worms",0
"146",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"mollusks",0
"147",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"beetles",0
"148",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"dragonfly",0
"149",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"larvae",0
"150",2018-02-16,2018,"winter","MO1","slough","FB250",98,99,25,"ept",0
"151",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"flies",0
"152",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"boaters",0
"153",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"mites",0
"154",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"crustaceans",176
"155",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"worms",0
"156",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"mollusks",0
"157",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"beetles",0
"158",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"dragonfly",0
"159",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"larvae",0
"160",2018-04-11,2018,"spring","MO1","slough","FB250",98,124,25,"ept",0
"161",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"flies",0
"162",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"boaters",1
"163",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"mites",0
"164",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"crustaceans",37
"165",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"worms",0
"166",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"mollusks",0
"167",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"beetles",0
"168",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"dragonfly",0
"169",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"larvae",0
"170",2018-05-08,2018,"spring","MO1","slough","FB250",98,124,25,"ept",0
"171",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"flies",0
"172",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"boaters",1
"173",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"mites",0
"174",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"crustaceans",9
"175",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"worms",0
"176",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"mollusks",0
"177",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"beetles",0
"178",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"dragonfly",0
"179",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"larvae",0
"180",2018-06-07,2018,"summer","MO1","slough","FB250",98,55,25,"ept",0
"181",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"flies",0
"182",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"boaters",0
"183",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"mites",0
"184",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"crustaceans",0
"185",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"worms",0
"186",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"mollusks",0
"187",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"beetles",0
"188",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"dragonfly",0
"189",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"larvae",0
"190",2018-08-06,2018,"summer","MO1","slough","FB250",98,55,25,"ept",0
"191",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"flies",0
"192",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"boaters",408
"193",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"mites",0
"194",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"crustaceans",5
"195",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"worms",0
"196",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"mollusks",0
"197",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"beetles",0
"198",2018-10-19,2018,"fall","MO1","slough","FB250",98,65,25,"dragonfly",0
