"","date","year","season","site","breach_status","site_type","sample_type","filter_method","DO_mg_L","DO_pct","cond_spec_mS_cm","sal_ppt","temp_c","baro_mm_Hg","pH","taxa","organisms_L","organisms_L_season","organisms_L_year","organisms_L_site"
"1",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"ostracod",0.0953101798043249,0.00181653092639779,0.00151400483121501,0.00415801014866368
"2",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"copepod",0,0,0,0
"3",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"amphipod",0,0,0,0
"4",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"cladocera",0,0,0,0
"5",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"clam_shrimp",0,0,0,0
"6",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"annelida_oligochaete",0,0,0,0
"7",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"annelida_polychaete",0,0,0,0
"8",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"nematode",0,0,0,0
"9",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"coleoptera_sp",0,0,0,0
"10",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"coleoptera_hydrophilidae",0,0,0,0
"11",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"coleoptera_dytiscidae",0,0,0,0
"12",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"coleoptera_hydraenidae",0,0,0,0
"13",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"dipteran_sp",0,0,0,0
"14",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"diptera_chironomid",0,0,0,0
"15",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"diptera_ceratopogonidae",0,0,0,0
"16",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"diptera_ephydridae",3.04452243772342,0.31015492830384,0.264692554227082,0.606135803570316
"17",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"diptera_stratiomyidae",0,0,0,0
"18",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"diptera_culicidae",0,0,0,0
"19",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"ephemeroptera",0,0,0,0
"20",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"hemiptera_corixidae_boatman",0,0,0,0
"21",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"hemiptera_notonectidae",0,0,0,0
"22",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"odonate",0,0,0,0
"23",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"collembola_springtail",0,0,0,0
"24",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters",NA,25,162,165,16.8,770,NA,"arachnida_acari",0,0,0,0
"25",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters",NA,156,158,118,28.5,759,7.9,"ostracod",0,0,0,0
