"","date","year","season","site","breach_status","site_type","sample_type","filter_method","group","organisms_L","organisms_L_season","organisms_L_year","organisms_L_site"
"1",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","flies",3.04452243772342,0.363636363636364,0.303030303030303,0.833333333333333
"2",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","boaters",0,0,0,0
"3",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","mites",0,0,0,0
"4",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","crustaceans",0.0953101798043249,0.00181818181818182,0.00151515151515152,0.00416666666666667
"5",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","worms",0,0,0,0
"6",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","mollusks",0,0,0,0
"7",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","beetles",0,0,0,0
"8",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","springtail",0,0,0,0
"9",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","dragonfly",0,0,0,0
"10",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","larvae",0,0,0,0
"11",2018-01-07,2018,"winter","CUL1","closed","slough","FB250","7.5 liters","ept",0,0,0,0
"12",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","flies",0.262364264467491,0.006,0.00454545454545455,0.0142857142857143
"13",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","boaters",0.262364264467491,0.006,0.00454545454545455,0.0142857142857143
"14",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","mites",0,0,0,0
"15",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","crustaceans",0.336472236621213,0.008,0.00606060606060606,0.019047619047619
"16",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","worms",0,0,0,0
"17",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","mollusks",0,0,0,0
"18",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","beetles",0,0,0,0
"19",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","springtail",0,0,0,0
"20",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","dragonfly",0,0,0,0
"21",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","larvae",0,0,0,0
"22",2018-09-28,2018,"fall","NMC","closed","slough","FB250","7.5 liters","ept",0,0,0,0
"23",2018-08-24,2018,"summer","CUL1","closed","slough","FB250","7.5 liters","flies",0,0,0,0
"24",2018-08-24,2018,"summer","CUL1","closed","slough","FB250","7.5 liters","boaters",0,0,0,0
"25",2018-08-24,2018,"summer","CUL1","closed","slough","FB250","7.5 liters","mites",0,0,0,0
"26",2018-08-24,2018,"summer","CUL1","closed","slough","FB250","7.5 liters","crustaceans",0.0953101798043249,0.003125,0.00151515151515152,0.00416666666666667
