BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB1703,stratton@ccber.ucsb.edu,WS7KZWVL,,5/11/2022 4:33,34.42,-119.789,NDC,Public
JVB1703,stratton@ccber.ucsb.edu,VAVM5TF7,,5/10/2022 12:23,34.4337963,-119.9091783,MO1,Public
JVB1703,stratton@ccber.ucsb.edu,GHYRWQ8W,,5/5/2022 13:30,,,NEC,Public
JVB1703,stratton@ccber.ucsb.edu,DTDENWBP,,5/12/2022 12:30,34.42148556,-119.8788489,NPB,Public
JVB1703,stratton@ccber.ucsb.edu,A76BYNY4,,5/6/2022 5:12,34.42,-119.88,NMC,Public
JVB1703,stratton@ccber.ucsb.edu,8RHC0YBR,,5/10/2022 11:03,34.4272759,-119.881701,CUL1,Public
JVB1703,stratton@ccber.ucsb.edu,6XDCL142,,5/13/2022 4:47,34.41824005,-119.8733144,NVBR,Public
JVB1703,stratton@ccber.ucsb.edu,1VSWCRMT,,5/12/2022 11:34,34.4218121,-119.8793986,NPB1,Public
JVB1703,stratton@ccber.ucsb.edu,1PE37FGF,,5/11/2022 4:08,34.21,-118.87,NWP,Public
JVB1703,stratton@ccber.ucsb.edu,0L0KTXL0,,5/12/2022 13:37,34.4115348,-119.8770103,,Public
