Date on Vial,Site,Person entering data,Person that sorted the sample,Sample Type,Ostracod,Copepod,Hemiptera: Corixidae (boatman),Cladocera,Nematode,Diptera - TOTAL,Dipteran sp.,Diptera: Chironomid ,Diptera: Ceratopogonidae,Diptera: Culicidae,Diptera: Ephydridae,Diptera: Stratiomyidae,Amphipod,Lepidoptera-Crambidae,Hemiptera  TOTAL,Hemiptera-Mesoveliidae,Hemiptera-Notonectidae,Annelida TOTAL,Annelida Sp.,Annelida: Oligochaete,Annelida: Polychaete,Ephemeroptera,Odonate,Coleoptera - TOTAL,Coleoptera sp.,Coleoptera: Dytiscidae,Coleoptera: Dytiscidae: Liodessus affinis,Coleoptera: Dytiscidae: Agabus,Coleoptera: Dytiscidae: Colymbetinae,Coleoptera: Curculionidae  (Weavil),Coleoptera - Hydrophilidae,Coleoptera - Tropiscernus,Coleoperta Hydraenidae,Coleoptera- Gyrindae- Gyrinini,Ephemeroptera Sp.,Tipulidae Larva,Plecoptera Sp.,Arachnida: Acari  (mite),Trichoptera Sp.,Collembola (Springtail),Gastropod - snail,Mollusk,Syrphidae,Terrestrials,Clam Shrimp,hydrachnidia,Isopod,Unknown,larvae,Total #,Comments,
15-Jan-20,CUL1,Justin K,Thien + Brooke,FB 250,3,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-20,NDC,Weijun S, Cole D + Haley D + Weijun S,FB250,8,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-20,NDC,Lauren Stiles ,Weijun and Alexa ,FB250,10,163,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Feb-20,PIER,ALison R,Cole and Justin K,FB250,28,"6,912",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb-20,NVBR,ALison R,Brooke and Alison,FB250,36,"7,249",3,"1,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-20,VBR1,Justin H,Lawrence L,FB250,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-20,VBR1,Alison R,Lawrence L,FB250,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most of sample was missing (in old student cubby) this was just the end.,
27-Feb-20,MO1,ALison R,Weijun and Victoria,FB250,205,"50,000",23,11,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Apr-21,NPB,Alison R,Mckenzie and Megan,FB250,"1,385",400,342,25,2,,,13,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,
21-May-21,MO1,Alison R,Brooke,FB250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,0,1 of Multiple replicates in Raw sample 2021 box,
